Nr;Event;Purity;CMM;SSQ;BSS;SilhCoeff;Rand statistic;
0;;0.8074659787094941;0.9093143437242456;1.5582885322898594E8;5.997172471461409E9;0.9171782548077427;0.4383903903903904;
1;;0.7516036570509398;0.9011993985826893;1.398690312834381E8;6.424889818085162E9;0.9075242882652559;0.45765965965965966;
2;;0.7293270901843854;0.8802097670353511;1.452033627681999E8;7.222673504783723E9;0.9181992559058795;0.4708848848848849;
3;;0.6377002433231393;0.8960388412466855;1.548369845386512E8;6.638580119725224E9;0.9122159552649325;0.4884584584584585;
4;;0.5764955860453232;0.8844533928578683;1.523223929272322E8;6.729180694795532E9;0.924148008271975;0.4990930930930931;
5;;0.6163839123455045;0.8870084561257128;1.521446234366198E8;5.687157920891292E9;0.9154550363384444;0.500960960960961;
6;;0.5424817288932345;0.8830367929644038;1.6049541733336464E8;6.694159483772742E9;0.9269533334882399;0.49937737737737736;
7;;0.5440599916254824;0.8921628035672663;1.4761429121502775E8;5.83293515947635E9;0.91830742307243;0.5011131131131131;
8;;0.5971732065577637;0.8890783246455486;1.401318897546921E8;7.517366028079797E9;0.9270866215988472;0.5041101101101101;
9;;0.6117845257372745;0.8923135576254421;1.716331877668244E8;5.702642151958981E9;0.9142527031716877;0.5042542542542543;
10;;0.6066384539277523;0.8819519871391577;1.534245604146306E8;5.546271886057928E9;0.9271155241904054;0.503985985985986;
11;;0.6526511938508807;0.8707089660203697;1.5726284607277632E8;5.33828199914385E9;0.9244429000390648;0.504044044044044;
12;;0.5950074616741283;0.8773285904596727;1.5827810951609913E8;6.503944511609914E9;0.9251215029824811;0.5044904904904904;
13;;0.5637037329835064;0.8846190753441624;1.4282083977762973E8;6.030355328023521E9;0.9193677209334581;0.5051171171171172;
14;;0.6066323582520765;0.8901500176506989;1.393241465600038E8;7.174492657646559E9;0.9193090717666152;0.5038418418418419;
15;;0.556156112038465;0.8926821765302189;1.5675985256331784E8;6.198420899842632E9;0.9184926156659272;0.5003423423423423;
