Nr;Event;F1-P;F1-R;Purity;CMM;CMM Basic;CMM Missed;CMM Misplaced;CMM Noise;CA Seperability;CA Noise;CA Model;SSQ;BSS;BSS-GT;BSS-Ratio;SilhCoeff;van Dongen;Rand statistic;
0;;0.04514349178040874;0.07740748020943157;0.7577586206896552;0.7243445874442564;0.07999999999999996;0.7243445874442564;1.0;1.0;0.5;1.0;0.02400000000000002;13.490263887161493;94.77527136360094;0.7911594505906658;119.79288282892074;0.5928489872943938;0.7215;0.49993793793793795;
1;;0.04797443304890935;0.07061347061347062;0.75;0.7083531801614911;0.09999999999999998;0.7083531801614911;1.0;1.0;0.5;1.0;0.07499999999999996;14.447759684142142;66.8296114571952;1.2239952276549857;54.59956864801832;0.6191143032588842;0.801;0.5508888888888889;
2;;0.05187115890871151;0.07128747134226349;0.7250216450216451;0.7229456033397088;0.09699999999999998;0.7229456033397088;1.0;1.0;0.5;1.0;0.07999999999999996;15.486861805705397;109.99531885349614;1.940814271708417;56.674829970552466;0.6447750714554908;0.7505;0.5061121121121122;
3;;0.052528596281413556;0.07973739846444865;0.7523148148148148;0.7376161005905242;0.09999999999999998;0.7376161005905242;1.0;1.0;0.5;1.0;0.06799999999999995;13.74348651914221;84.59527685127097;0.9853282917717383;85.85491511581235;0.6942502918151238;0.7565;0.5053893893893894;
4;;0.04526895810879624;0.06242556684819685;0.7467195767195767;0.719661944313327;0.09699999999999998;0.719661944313327;1.0;1.0;0.5;1.0;0.028000000000000025;13.153412510890654;101.92393507486084;1.2238563783861702;83.28096080135002;0.6694598139519988;0.7745;0.5139739739739739;
5;;0.05681346710287747;0.08215634597046081;0.8295940170940171;0.6936645400580366;0.07399999999999995;0.6936645400580366;1.0;1.0;0.5;1.0;0.013000000000000012;16.39250244276444;67.08061505144921;0.5347407165910325;125.4451231600383;0.7619419864367285;0.762;0.5086626626626627;
6;;0.04412772673035388;0.07389982790604117;0.7372294372294371;0.704877523470633;0.07599999999999996;0.704877523470633;1.0;1.0;0.5;1.0;0.007000000000000006;11.489743778723238;89.88085020701699;0.05392117608621814;1666.8933567639651;0.706352489646644;0.754;0.5032472472472472;
7;;0.06281233171724679;0.08935903284671533;0.8099020759890326;0.7175435865000721;0.10799999999999998;0.7175435865000721;1.0;1.0;0.5;1.0;0.006000000000000005;12.879404973850807;86.74800645368582;0.09309805599010114;931.7918138152046;0.6325962131389433;0.724;0.5021761761761762;
8;;0.05122470363199957;0.06387330528284244;0.7845959595959596;0.7070135179200276;0.08599999999999997;0.7070135179200276;1.0;1.0;0.5;1.0;0.02200000000000002;10.87805578272854;97.40958277025561;0.5189488971451464;187.70553961310537;0.6361888210178495;0.736;0.5037197197197197;
9;;0.050552973341503805;0.07579079798705966;0.7085481577246283;0.7153340320461792;0.09199999999999997;0.7153340320461792;1.0;1.0;0.5;1.0;0.016000000000000014;11.595705846742892;91.04890617818509;0.4619522525062243;197.09592427403157;0.5810726249027293;0.7185;0.5002182182182182;
10;;0.055610220641831395;0.08063195691202872;0.7035964912280701;0.7176752332551863;0.09899999999999998;0.7176752332551863;1.0;1.0;0.5;1.0;0.05900000000000005;10.96865431977532;98.06727197652674;1.932388961858651;50.74924040251276;0.688423654751356;0.7135;0.500028028028028;
11;;0.0465920231501328;0.059174426644306166;0.6390640061692694;0.6557302998351168;0.07599999999999996;0.6557302998351168;1.0;1.0;0.5;1.0;0.03300000000000003;28.710183507215927;104.78639928438203;0.8883978828125011;117.94985255103033;0.6038150253199492;0.745;0.5069829829829829;
12;;0.05307142550156032;0.07027727072676243;0.7350213128729753;0.7216905523310231;0.09299999999999997;0.7216905523310231;1.0;1.0;0.5;1.0;0.02100000000000002;13.402588396079901;110.95652602539845;0.034661887184736166;3201.1103559952635;0.603175461163135;0.72;0.5004744744744745;
13;;0.07934352866729961;0.08934309207553989;0.9107769644589471;0.7234040403061347;0.118;0.7234040403061347;1.0;1.0;0.5;1.0;0.16100000000000003;11.25650054131551;95.76796798360718;1.7373970076750196;55.12152234667633;0.7115413823440928;0.719;0.5016296296296296;
14;;0.042965211998407984;0.05328357115592964;0.800103519668737;0.7187828200303725;0.07099999999999995;0.7187828200303725;1.0;1.0;0.5;1.0;0.019000000000000017;11.046944720731064;94.32102807631946;0.02611874467181393;3611.238949707491;0.7270174407112221;0.754;0.500940940940941;
15;;0.03702783444328617;0.041647678559015036;0.756140350877193;0.7257615537016453;0.07099999999999995;0.7257615537016453;1.0;1.0;0.5;1.0;0.02200000000000002;12.600260614833166;111.91839877977289;0.015048570687500033;7437.144769684801;0.6556684170053441;0.754;0.5016416416416416;
16;;0.034890890609544555;0.053413990604286;0.7391228070175438;0.6956053018755636;0.06499999999999995;0.6956053018755636;1.0;1.0;0.5;1.0;0.018000000000000016;11.037154665682937;87.17589602274842;0.055899916247199116;1559.499582025159;0.6598791049873798;0.789;0.5247147147147148;
